Image,Center_X,Center_Y,Width,Height,saharAngle,x_position,y_position,angle
37,53,26,87,52,344.5387822595581,-2.3175,3.22281,10.0
38,50,27,80,54,147.3390872783262,-2.3175,3.22281,20.0
39,52,26,83,53,148.62699485989154,-2.3175,3.22281,30.0
40,55,27,85,54,149.2372804657611,-2.3175,3.22281,40.0
41,57,27,85,54,149.82647997035568,-2.3175,3.22281,50.0
42,60,27,85,54,148.62699485989154,-2.3175,3.22281,60.0
43,57,27,91,54,336.0375110254218,-2.3175,3.22281,70.0
44,52,26,101,53,197.41797079220285,-2.3175,3.22281,80.0
45,50,26,101,53,201.99112991717712,-2.3175,3.22281,90.0
46,49,26,99,52,204.17910714668918,-2.3175,3.22281,100.0
47,47,26,95,52,205.0835940061909,-2.3175,3.22281,110.0
48,45,26,91,52,340.11483488614454,-2.3175,3.22281,120.0
49,46,27,93,54,337.7965214679426,-2.3175,3.22281,130.0
50,48,27,97,55,339.19320898728876,-2.3175,3.22281,140.0
51,50,28,100,56,209.35775354279127,-2.3175,3.22281,150.0
52,51,29,103,58,210.11373315098243,-2.3175,3.22281,160.0
53,51,29,103,58,203.86017519134234,-2.3175,3.22281,170.0
54,56,29,94,59,208.07248693585294,-2.3175,3.22281,180.0
55,61,29,82,58,337.7509763427876,-2.3175,3.22281,190.0
56,57,29,83,58,149.65675111576041,-2.3175,3.22281,200.0
57,54,29,83,58,150.25511870305778,-2.3175,3.22281,210.0
58,52,28,80,56,149.03624346792648,-2.3175,3.22281,220.0
59,50,27,81,55,325.9806500101735,-2.3175,3.22281,230.0
60,56,27,93,54,334.7988763545249,-2.3175,3.22281,240.0
61,62,26,102,53,340.4077181089485,-2.3175,3.22281,250.0
62,67,26,109,52,344.5213618345816,-2.3175,3.22281,260.0
63,72,26,112,53,344.1676133795778,-2.3175,3.22281,270.0
64,76,26,112,53,345.96375653207355,-2.3175,3.22281,280.0
65,80,27,110,54,347.3806777065692,-2.3175,3.22281,290.0
66,82,27,106,54,345.7499673021964,-2.3175,3.22281,300.0
67,82,27,105,54,346.6075022462489,-2.3175,3.22281,310.0
68,78,27,107,54,345.96375653207355,-2.3175,3.22281,320.0
69,74,26,107,53,347.8450583027778,-2.3175,3.22281,330.0
70,70,26,106,53,348.5180086452519,-2.3175,3.22281,340.0
71,65,26,102,53,348.8708107103888,-2.3175,3.22281,350.0
72,83,26,93,52,346.21840276434637,-2.2175,3.22281,0.0
73,78,26,84,53,147.3390872783262,-2.2175,3.22281,10.0
74,75,26,79,53,147.3390872783262,-2.2175,3.22281,20.0
75,78,26,82,53,148.62699485989154,-2.2175,3.22281,30.0
76,81,27,84,54,149.2372804657611,-2.2175,3.22281,40.0
77,83,27,84,54,149.2372804657611,-2.2175,3.22281,50.0
78,86,27,82,54,333.434948822922,-2.2175,3.22281,60.0
79,82,27,91,54,337.1094483437517,-2.2175,3.22281,70.0
80,77,26,100,53,197.41797079220285,-2.2175,3.22281,80.0
81,72,26,107,52,194.99507912917596,-2.2175,3.22281,90.0
82,68,26,110,52,194.50016676655258,-2.2175,3.22281,100.0
83,63,26,111,53,192.42594286542746,-2.2175,3.22281,110.0
84,60,27,109,54,192.84770485871766,-2.2175,3.22281,120.0
85,62,27,112,55,193.79948539601935,-2.2175,3.22281,130.0
86,65,28,114,56,195.17291534552524,-2.2175,3.22281,140.0
87,68,28,114,57,196.0735741647464,-2.2175,3.22281,150.0
88,72,29,110,58,197.52556837372288,-2.2175,3.22281,160.0
89,77,29,102,58,202.38013505195957,-2.2175,3.22281,170.0
90,81,29,91,58,210.17352002964432,-2.2175,3.22281,180.0
91,85,29,81,58,336.16125981682825,-2.2175,3.22281,190.0
92,82,29,81,58,149.03624346792648,-2.2175,3.22281,200.0
93,80,28,80,57,149.03624346792648,-2.2175,3.22281,210.0
94,76,28,79,56,149.03624346792648,-2.2175,3.22281,220.0
95,77,27,82,55,325.00797980144137,-2.2175,3.22281,230.0
96,82,27,92,54,333.8860873697093,-2.2175,3.22281,240.0
97,88,26,102,52,340.4077181089485,-2.2175,3.22281,250.0
98,93,26,107,52,344.29136217098426,-2.2175,3.22281,260.0
99,98,26,110,53,345.7627195342389,-2.2175,3.22281,270.0
100,101,26,111,53,343.94001269283933,-2.2175,3.22281,280.0
101,105,27,108,54,345.3432488842396,-2.2175,3.22281,290.0
102,107,27,103,54,345.30268072048807,-2.2175,3.22281,300.0
103,107,27,103,54,346.3994574833413,-2.2175,3.22281,310.0
104,103,27,105,54,346.8093892877931,-2.2175,3.22281,320.0
105,99,27,106,54,347.6609127216738,-2.2175,3.22281,330.0
106,94,26,105,53,350.09581678702614,-2.2175,3.22281,340.0
107,89,26,99,52,347.5740571345725,-2.2175,3.22281,350.0
108,109,26,90,52,349.1144729453413,-2.1174999999999997,3.22281,0.0
109,102,26,81,52,146.659292653523,-2.1174999999999997,3.22281,10.0
110,101,27,78,54,147.3390872783262,-2.1174999999999997,3.22281,20.0
111,104,27,80,54,147.3390872783262,-2.1174999999999997,3.22281,30.0
112,106,27,82,54,148.62699485989154,-2.1174999999999997,3.22281,40.0
113,109,27,82,54,148.62699485989154,-2.1174999999999997,3.22281,50.0
114,111,27,81,54,333.434948822922,-2.1174999999999997,3.22281,60.0
115,106,27,91,54,335.55604521958344,-2.1174999999999997,3.22281,70.0
116,101,26,99,53,195.0684881594922,-2.1174999999999997,3.22281,80.0
117,97,26,106,52,193.06931789628217,-2.1174999999999997,3.22281,90.0
118,92,26,109,52,193.5704343851615,-2.1174999999999997,3.22281,100.0
119,88,26,109,52,193.5704343851615,-2.1174999999999997,3.22281,110.0
120,86,27,108,54,193.06931789628217,-2.1174999999999997,3.22281,120.0
121,87,27,111,55,192.84770485871766,-2.1174999999999997,3.22281,130.0
122,90,28,113,56,195.42216131873866,-2.1174999999999997,3.22281,140.0
123,94,28,112,57,197.24145939893998,-2.1174999999999997,3.22281,150.0
124,98,29,107,58,200.89776549883885,-2.1174999999999997,3.22281,160.0
125,102,29,99,58,202.78240573048168,-2.1174999999999997,3.22281,170.0
126,107,29,89,58,212.38067770656923,-2.1174999999999997,3.22281,180.0
127,110,29,79,58,335.13630342824814,-2.1174999999999997,3.22281,190.0
128,107,29,79,58,148.39249775375112,-2.1174999999999997,3.22281,200.0
129,104,29,79,58,149.03624346792648,-2.1174999999999997,3.22281,210.0
130,102,28,77,56,147.72435568542238,-2.1174999999999997,3.22281,220.0
131,102,27,81,55,327.61932229343074,-2.1174999999999997,3.22281,230.0
132,108,27,92,54,334.7988763545249,-2.1174999999999997,3.22281,240.0
133,114,26,100,52,341.2742121547274,-2.1174999999999997,3.22281,250.0
134,119,26,106,53,344.05460409907715,-2.1174999999999997,3.22281,260.0
135,123,26,109,52,345.5559642755078,-2.1174999999999997,3.22281,270.0
136,127,26,108,53,345.3432488842396,-2.1174999999999997,3.22281,280.0
137,130,27,106,54,344.89890183861456,-2.1174999999999997,3.22281,290.0
138,132,27,101,54,345.06858282186244,-2.1174999999999997,3.22281,300.0
139,132,27,102,54,347.2756443145776,-2.1174999999999997,3.22281,310.0
140,128,27,104,54,347.4711922908485,-2.1174999999999997,3.22281,320.0
141,124,26,104,53,349.38034472384487,-2.1174999999999997,3.22281,330.0
142,119,26,102,53,348.8708107103888,-2.1174999999999997,3.22281,340.0
143,114,26,98,53,349.26110289909457,-2.1174999999999997,3.22281,350.0
144,133,26,88,52,346.50426671920417,-2.0174999999999996,3.22281,0.0
145,127,26,79,53,145.95406264339834,-2.0174999999999996,3.22281,10.0
146,127,26,76,53,145.95406264339834,-2.0174999999999996,3.22281,20.0
147,129,26,79,53,147.3390872783262,-2.0174999999999996,3.22281,30.0
148,132,27,81,54,147.99461679191648,-2.0174999999999996,3.22281,40.0
149,134,27,81,54,147.99461679191648,-2.0174999999999996,3.22281,50.0
150,136,27,80,54,332.87869659584135,-2.0174999999999996,3.22281,60.0
151,130,27,91,54,194.32271997820357,-2.0174999999999996,3.22281,70.0
152,126,27,99,54,196.09081634885217,-2.0174999999999996,3.22281,80.0
153,121,26,105,53,193.06931789628217,-2.0174999999999996,3.22281,90.0
154,117,26,107,52,194.74356283647074,-2.0174999999999996,3.22281,100.0
155,113,26,108,53,191.68936917543917,-2.0174999999999996,3.22281,110.0
156,111,27,106,54,193.29857033049427,-2.0174999999999996,3.22281,120.0
157,113,27,110,55,192.84770485871766,-2.0174999999999996,3.22281,130.0
158,116,28,112,56,194.50016676655258,-2.0174999999999996,3.22281,140.0
159,119,28,109,57,197.52556837372288,-2.0174999999999996,3.22281,150.0
160,123,29,105,58,201.61477894278624,-2.0174999999999996,3.22281,160.0
161,128,29,96,58,204.17910714668918,-2.0174999999999996,3.22281,170.0
162,133,29,86,58,337.7509763427876,-2.0174999999999996,3.22281,180.0
163,136,29,78,58,336.29735404903374,-2.0174999999999996,3.22281,190.0
164,132,29,79,58,148.39249775375112,-2.0174999999999996,3.22281,200.0
165,129,28,77,57,148.39249775375112,-2.0174999999999996,3.22281,210.0
166,126,28,75,56,147.72435568542238,-2.0174999999999996,3.22281,220.0
167,129,27,82,55,328.2405199151872,-2.0174999999999996,3.22281,230.0
168,134,27,91,54,335.7255588655605,-2.0174999999999996,3.22281,240.0
169,140,26,100,53,342.1496816977832,-2.0174999999999996,3.22281,250.0
170,144,26,105,52,344.05460409907715,-2.0174999999999996,3.22281,260.0
171,149,26,107,53,347.0053832080835,-2.0174999999999996,3.22281,270.0
172,153,26,106,53,346.1713490277198,-2.0174999999999996,3.22281,280.0
173,155,26,104,53,343.81079374297303,-2.0174999999999996,3.22281,290.0
174,157,27,99,54,343.9264258352536,-2.0174999999999996,3.22281,300.0
175,156,27,101,54,347.96940390346214,-2.0174999999999996,3.22281,310.0
176,152,27,103,54,347.4711922908485,-2.0174999999999996,3.22281,320.0
177,148,26,102,53,347.2756443145776,-2.0174999999999996,3.22281,330.0
178,144,26,100,53,349.7778313663639,-2.0174999999999996,3.22281,340.0
179,138,26,95,53,347.9052429229879,-2.0174999999999996,3.22281,350.0
180,158,26,84,53,345.96375653207355,-1.9174999999999995,3.22281,0.0
181,152,26,76,53,145.22216863363613,-1.9174999999999995,3.22281,10.0
182,152,26,75,53,145.95406264339834,-1.9174999999999995,3.22281,20.0
183,155,26,78,53,147.3390872783262,-1.9174999999999995,3.22281,30.0
184,157,27,79,54,147.3390872783262,-1.9174999999999995,3.22281,40.0
185,160,27,80,54,147.99461679191648,-1.9174999999999995,3.22281,50.0
186,160,27,81,54,335.13630342824814,-1.9174999999999995,3.22281,60.0
187,155,27,91,54,196.58733855692742,-1.9174999999999995,3.22281,70.0
188,150,27,99,54,193.78159723565363,-1.9174999999999995,3.22281,80.0
189,146,26,104,52,193.06931789628217,-1.9174999999999995,3.22281,90.0
190,142,26,106,52,193.79948539601935,-1.9174999999999995,3.22281,100.0
191,138,26,106,52,191.88865803962798,-1.9174999999999995,3.22281,110.0
192,137,27,106,54,193.53585636913422,-1.9174999999999995,3.22281,120.0
193,139,27,108,55,194.99507912917596,-1.9174999999999995,3.22281,130.0
194,141,28,109,56,195.67952412241922,-1.9174999999999995,3.22281,140.0
195,145,28,107,57,198.74134044519272,-1.9174999999999995,3.22281,150.0
196,149,29,102,58,200.6744247608739,-1.9174999999999995,3.22281,160.0
197,153,29,95,58,202.61986494804043,-1.9174999999999995,3.22281,170.0
198,158,29,83,58,213.69006752597977,-1.9174999999999995,3.22281,180.0
199,160,29,77,58,335.77225468204585,-1.9174999999999995,3.22281,190.0
200,157,29,77,58,147.72435568542238,-1.9174999999999995,3.22281,200.0
201,154,28,75,57,147.72435568542238,-1.9174999999999995,3.22281,210.0
202,151,28,73,56,147.0305960965379,-1.9174999999999995,3.22281,220.0
203,154,27,81,55,328.8406954916556,-1.9174999999999995,3.22281,230.0
204,160,27,91,54,337.0678995624102,-1.9174999999999995,3.22281,240.0
205,165,26,99,52,340.97439396243135,-1.9174999999999995,3.22281,250.0
206,170,26,104,52,342.96223220437435,-1.9174999999999995,3.22281,260.0
207,174,26,105,52,345.1243179983612,-1.9174999999999995,3.22281,270.0
208,178,26,104,53,344.05460409907715,-1.9174999999999995,3.22281,280.0
209,180,27,101,54,343.3007557660064,-1.9174999999999995,3.22281,290.0
210,183,27,96,54,343.393019421383,-1.9174999999999995,3.22281,300.0
211,181,27,99,54,347.074000875294,-1.9174999999999995,3.22281,310.0
212,177,27,101,54,349.04593735660166,-1.9174999999999995,3.22281,320.0
213,173,26,100,53,347.96940390346214,-1.9174999999999995,3.22281,330.0
214,168,26,98,53,350.38027220030114,-1.9174999999999995,3.22281,340.0
215,163,26,92,53,347.4711922908485,-1.9174999999999995,3.22281,350.0
216,182,26,82,53,344.2192466904846,-1.8174999999999994,3.22281,0.0
217,177,26,72,52,144.46232220802563,-1.8174999999999994,3.22281,10.0
218,178,26,74,53,145.95406264339834,-1.8174999999999994,3.22281,20.0
219,180,26,77,53,146.659292653523,-1.8174999999999994,3.22281,30.0
220,183,27,78,54,147.3390872783262,-1.8174999999999994,3.22281,40.0
221,185,27,77,54,146.659292653523,-1.8174999999999994,3.22281,50.0
222,184,27,81,54,332.300527191945,-1.8174999999999994,3.22281,60.0
223,180,27,90,54,197.70042778866718,-1.8174999999999994,3.22281,70.0
224,175,26,98,53,194.03624346792648,-1.8174999999999994,3.22281,80.0
225,170,26,103,52,192.09475707701208,-1.8174999999999994,3.22281,90.0
226,166,26,105,52,191.88865803962798,-1.8174999999999994,3.22281,100.0
227,163,26,103,53,195.25511870305775,-1.8174999999999994,3.22281,110.0
228,162,27,104,54,193.78159723565363,-1.8174999999999994,3.22281,120.0
229,164,27,107,55,194.2810957359708,-1.8174999999999994,3.22281,130.0
230,167,28,109,56,194.74356283647074,-1.8174999999999994,3.22281,140.0
231,171,28,106,57,198.12186024790134,-1.8174999999999994,3.22281,150.0
232,175,29,101,58,202.93210043758978,-1.8174999999999994,3.22281,160.0
233,179,29,91,58,207.5528115767178,-1.8174999999999994,3.22281,170.0
234,184,29,80,58,217.87498365109818,-1.8174999999999994,3.22281,180.0
235,185,29,75,58,144.46232220802563,-1.8174999999999994,3.22281,190.0
236,182,29,75,58,147.0305960965379,-1.8174999999999994,3.22281,200.0
237,179,29,73,58,148.1340223063963,-1.8174999999999994,3.22281,210.0
238,176,28,71,56,146.30993247402023,-1.8174999999999994,3.22281,220.0
239,181,27,80,55,327.2647737278924,-1.8174999999999994,3.22281,230.0
240,186,27,90,54,335.7255588655605,-1.8174999999999994,3.22281,240.0
241,191,26,97,52,340.0962504626922,-1.8174999999999994,3.22281,250.0
242,196,26,102,52,340.1678701497816,-1.8174999999999994,3.22281,260.0
243,200,26,104,52,344.89890183861456,-1.8174999999999994,3.22281,270.0
244,203,26,103,53,345.7499673021964,-1.8174999999999994,3.22281,280.0
245,206,27,100,54,343.0338518914638,-1.8174999999999994,3.22281,290.0
246,208,27,96,54,343.113208876056,-1.8174999999999994,3.22281,300.0
247,205,27,99,54,347.96940390346214,-1.8174999999999994,3.22281,310.0
248,201,27,99,54,346.1849746587384,-1.8174999999999994,3.22281,320.0
249,197,27,99,54,348.8708107103888,-1.8174999999999994,3.22281,330.0
250,192,26,95,53,347.1522951412823,-1.8174999999999994,3.22281,340.0
251,187,26,90,52,344.93151184050777,-1.8174999999999994,3.22281,350.0
252,207,26,80,53,344.7448812969422,-1.7174999999999994,3.22281,0.0
253,201,26,70,53,145.5610106911964,-1.7174999999999994,3.22281,10.0
254,203,27,73,54,145.22216863363613,-1.7174999999999994,3.22281,20.0
255,206,27,75,54,145.95406264339834,-1.7174999999999994,3.22281,30.0
256,208,27,77,54,146.659292653523,-1.7174999999999994,3.22281,40.0
257,211,27,76,54,145.95406264339834,-1.7174999999999994,3.22281,50.0
258,209,27,81,54,333.434948822922,-1.7174999999999994,3.22281,60.0
259,205,27,90,54,198.06047193619918,-1.7174999999999994,3.22281,70.0
260,199,26,97,53,197.41797079220285,-1.7174999999999994,3.22281,80.0
261,196,26,102,53,194.53445508054008,-1.7174999999999994,3.22281,90.0
262,191,26,103,52,193.06931789628217,-1.7174999999999994,3.22281,100.0
263,188,26,103,52,194.53445508054008,-1.7174999999999994,3.22281,110.0
264,188,27,104,54,192.75753216087668,-1.7174999999999994,3.22281,120.0
265,190,27,106,55,194.2810957359708,-1.7174999999999994,3.22281,130.0
266,193,28,106,56,196.88679112394402,-1.7174999999999994,3.22281,140.0
267,196,28,103,57,199.38451567935783,-1.7174999999999994,3.22281,150.0
268,200,29,99,58,200.43282867939868,-1.7174999999999994,3.22281,160.0
269,205,29,89,58,211.15930450834438,-1.7174999999999994,3.22281,170.0
270,210,29,78,58,216.86989764584402,-1.7174999999999994,3.22281,180.0
271,210,29,74,58,146.30993247402023,-1.7174999999999994,3.22281,190.0
272,207,29,74,58,147.0305960965379,-1.7174999999999994,3.22281,200.0
273,204,28,73,57,147.0305960965379,-1.7174999999999994,3.22281,210.0
274,201,28,69,56,317.81555668421123,-1.7174999999999994,3.22281,220.0
275,206,27,81,55,329.420773127511,-1.7174999999999994,3.22281,230.0
276,212,27,89,54,336.13982480865764,-1.7174999999999994,3.22281,240.0
277,217,26,96,53,338.8951614150704,-1.7174999999999994,3.22281,250.0
278,221,26,101,52,343.55962047831986,-1.7174999999999994,3.22281,260.0
279,225,26,102,52,342.699472808055,-1.7174999999999994,3.22281,270.0
280,228,27,101,54,344.42745640318975,-1.7174999999999994,3.22281,280.0
281,231,27,98,54,345.4998332334474,-1.7174999999999994,3.22281,290.0
282,232,27,95,54,346.20051460398065,-1.7174999999999994,3.22281,300.0
283,230,27,98,54,347.77487732426425,-1.7174999999999994,3.22281,310.0
284,226,27,98,54,346.86597769360367,-1.7174999999999994,3.22281,320.0
285,222,27,96,54,347.5740571345725,-1.7174999999999994,3.22281,330.0
286,217,26,92,53,345.96375653207355,-1.7174999999999994,3.22281,340.0
287,212,26,86,53,344.64986350757556,-1.7174999999999994,3.22281,350.0
288,231,26,77,53,342.80145877993414,-1.6174999999999993,3.22281,0.0
289,227,26,69,52,324.7824070318073,-1.6174999999999993,3.22281,10.0
290,229,26,72,53,145.22216863363613,-1.6174999999999993,3.22281,20.0
291,232,26,74,53,145.95406264339834,-1.6174999999999993,3.22281,30.0
292,234,27,75,54,145.95406264339834,-1.6174999999999993,3.22281,40.0
293,237,27,74,54,331.0735741647464,-1.6174999999999993,3.22281,50.0
294,234,27,82,54,334.5922818910515,-1.6174999999999993,3.22281,60.0
295,229,27,90,54,195.4612177404419,-1.6174999999999993,3.22281,70.0
296,224,26,96,53,195.0684881594922,-1.6174999999999993,3.22281,80.0
297,220,26,101,52,194.53445508054008,-1.6174999999999993,3.22281,90.0
298,216,26,102,52,193.29857033049427,-1.6174999999999993,3.22281,100.0
299,213,26,102,52,192.52880770915152,-1.6174999999999993,3.22281,110.0
300,213,27,102,54,192.75753216087668,-1.6174999999999993,3.22281,120.0
301,215,27,105,55,194.2810957359708,-1.6174999999999993,3.22281,130.0
302,218,28,105,56,197.17590361574673,-1.6174999999999993,3.22281,140.0
303,222,28,101,57,201.61477894278624,-1.6174999999999993,3.22281,150.0
304,226,29,97,58,201.80140948635182,-1.6174999999999993,3.22281,160.0
305,231,29,87,58,211.7594800848128,-1.6174999999999993,3.22281,170.0
306,235,29,75,58,218.45370921670596,-1.6174999999999993,3.22281,180.0
307,234,29,73,58,146.30993247402023,-1.6174999999999993,3.22281,190.0
308,232,29,73,58,146.30993247402023,-1.6174999999999993,3.22281,200.0
309,229,29,71,58,146.30993247402023,-1.6174999999999993,3.22281,210.0
310,227,28,69,56,320.5275401516562,-1.6174999999999993,3.22281,220.0
311,233,27,80,55,327.8750015596125,-1.6174999999999993,3.22281,230.0
312,238,27,90,54,336.13982480865764,-1.6174999999999993,3.22281,240.0
313,243,26,96,52,340.6651914621736,-1.6174999999999993,3.22281,250.0
314,247,26,99,53,342.42874122167757,-1.6174999999999993,3.22281,260.0
315,251,26,101,53,346.3994574833413,-1.6174999999999993,3.22281,270.0
316,254,26,100,53,342.1496816977832,-1.6174999999999993,3.22281,280.0
317,256,27,96,54,343.393019421383,-1.6174999999999993,3.22281,290.0
318,257,27,94,54,345.00492087082404,-1.6174999999999993,3.22281,300.0
319,254,27,98,54,348.5034369824142,-1.6174999999999993,3.22281,310.0
320,250,27,97,54,347.5740571345725,-1.6174999999999993,3.22281,320.0
321,246,27,95,54,349.26110289909457,-1.6174999999999993,3.22281,330.0
322,241,27,91,54,346.7014296695057,-1.6174999999999993,3.22281,340.0
323,236,26,85,53,346.50426671920417,-1.6174999999999993,3.22281,350.0
324,255,26,75,52,143.67317404787977,-1.5174999999999992,3.22281,0.0
325,252,26,69,53,143.67317404787977,-1.5174999999999992,3.22281,10.0
326,255,26,71,53,327.4259428654275,-1.5174999999999992,3.22281,20.0
327,257,27,73,54,145.22216863363613,-1.5174999999999992,3.22281,30.0
328,260,27,74,54,145.95406264339834,-1.5174999999999992,3.22281,40.0
329,262,27,73,54,331.0735741647464,-1.5174999999999992,3.22281,50.0
330,258,27,82,54,197.19854122006586,-1.5174999999999992,3.22281,60.0
331,253,27,91,54,194.03624346792648,-1.5174999999999992,3.22281,70.0
332,249,26,96,53,195.0684881594922,-1.5174999999999992,3.22281,80.0
333,245,26,100,52,193.53585636913422,-1.5174999999999992,3.22281,90.0
334,241,26,102,52,191.3099324740202,-1.5174999999999992,3.22281,100.0
335,238,26,100,52,191.72511201516508,-1.5174999999999992,3.22281,110.0
336,239,27,102,54,192.75753216087668,-1.5174999999999992,3.22281,120.0
337,241,27,105,55,193.29857033049427,-1.5174999999999992,3.22281,130.0
338,244,28,103,56,198.43494882292202,-1.5174999999999992,3.22281,140.0
339,248,28,100,57,199.72227776444706,-1.5174999999999992,3.22281,150.0
340,252,29,94,58,203.19859051364818,-1.5174999999999992,3.22281,160.0
341,256,29,85,58,214.01934998982645,-1.5174999999999992,3.22281,170.0
342,261,29,73,58,335.22485943116806,-1.5174999999999992,3.22281,180.0
343,259,29,71,58,145.5610106911964,-1.5174999999999992,3.22281,190.0
344,257,29,70,58,145.5610106911964,-1.5174999999999992,3.22281,200.0
345,254,28,68,57,144.78240703180728,-1.5174999999999992,3.22281,210.0
346,253,28,69,56,320.5275401516562,-1.5174999999999992,3.22281,220.0
347,258,27,81,55,329.420773127511,-1.5174999999999992,3.22281,230.0
348,264,27,88,54,335.7255588655605,-1.5174999999999992,3.22281,240.0
349,268,26,95,52,339.77514056883194,-1.5174999999999992,3.22281,250.0
350,273,26,98,52,342.42874122167757,-1.5174999999999992,3.22281,260.0
351,276,26,99,53,343.3007557660064,-1.5174999999999992,3.22281,270.0
352,279,27,98,54,343.9264258352536,-1.5174999999999992,3.22281,280.0
353,281,27,94,54,341.87813975209866,-1.5174999999999992,3.22281,290.0
354,281,27,93,54,344.05460409907715,-1.5174999999999992,3.22281,300.0
355,278,27,96,54,345.4998332334474,-1.5174999999999992,3.22281,310.0
356,275,27,95,54,349.4389893088036,-1.5174999999999992,3.22281,320.0
357,271,26,94,53,350.2175929681927,-1.5174999999999992,3.22281,330.0
358,266,26,89,53,348.486168815513,-1.5174999999999992,3.22281,340.0
359,261,26,82,53,344.8459319496874,-1.5174999999999992,3.22281,350.0
360,280,26,71,53,142.00126755749537,-1.417499999999999,3.22281,0.0
361,278,26,67,53,142.8533133019782,-1.417499999999999,3.22281,10.0
362,280,27,71,54,144.46232220802563,-1.417499999999999,3.22281,20.0
363,283,26,71,53,144.46232220802563,-1.417499999999999,3.22281,30.0
364,285,27,73,54,145.22216863363613,-1.417499999999999,3.22281,40.0
365,287,27,72,54,330.4221613187387,-1.417499999999999,3.22281,50.0
366,282,27,83,54,196.82140989004083,-1.417499999999999,3.22281,60.0
367,278,27,90,54,196.26020470831193,-1.417499999999999,3.22281,70.0
368,273,26,97,53,192.9946167919165,-1.417499999999999,3.22281,80.0
369,269,26,99,52,193.53585636913422,-1.417499999999999,3.22281,90.0
370,266,26,100,52,193.53585636913422,-1.417499999999999,3.22281,100.0
371,263,26,98,53,192.9946167919165,-1.417499999999999,3.22281,110.0
372,264,27,101,54,192.75753216087668,-1.417499999999999,3.22281,120.0
373,267,27,102,55,196.50436138175502,-1.417499999999999,3.22281,130.0
374,270,28,102,56,200.6744247608739,-1.417499999999999,3.22281,140.0
375,274,28,98,57,202.38013505195957,-1.417499999999999,3.22281,150.0
376,277,29,91,58,207.5528115767178,-1.417499999999999,3.22281,160.0
377,282,29,82,58,216.38435181583588,-1.417499999999999,3.22281,170.0
378,287,29,70,58,222.08916217383225,-1.417499999999999,3.22281,180.0
379,284,29,69,58,144.78240703180728,-1.417499999999999,3.22281,190.0
380,282,29,68,58,144.78240703180728,-1.417499999999999,3.22281,200.0
381,279,29,67,58,144.78240703180728,-1.417499999999999,3.22281,210.0
382,280,28,70,56,320.3558250428552,-1.417499999999999,3.22281,220.0
383,285,27,80,55,329.420773127511,-1.417499999999999,3.22281,230.0
384,289,27,89,54,336.13982480865764,-1.417499999999999,3.22281,240.0
385,295,26,94,53,338.55226367289464,-1.417499999999999,3.22281,250.0
386,298,26,97,52,342.1496816977832,-1.417499999999999,3.22281,260.0
387,302,26,98,52,343.3007557660064,-1.417499999999999,3.22281,270.0
388,304,26,96,53,341.565051177078,-1.417499999999999,3.22281,280.0
