Image,Center_X,Center_Y,Width,Height,x_position,y_position
72,39,13,79,25,-2.5817434787750244,4.284876346588135
73,42,12,84,24,-2.5817434787750244,4.334876537322998
74,45,11,90,22,-2.5817434787750244,4.384876251220703
75,50,9,90,19,-2.5817434787750244,4.434876441955566
76,56,8,89,17,-2.5817434787750244,4.48487663269043
77,62,7,88,15,-2.5817434787750244,4.534876346588135
78,67,7,87,14,-2.5817434787750244,4.584876537322998
79,72,6,85,12,-2.5817434787750244,4.634876251220703
80,77,5,83,10,-2.5817434787750244,4.684876441955566
81,81,4,79,8,-2.5817434787750244,4.73487663269043
82,85,3,72,6,-2.5817434787750244,4.784876346588135
83,27,25,54,26,-2.5317435264587402,3.9848763942718506
84,30,23,60,26,-2.5317435264587402,4.034876346588135
85,33,21,67,26,-2.5317435264587402,4.084876537322998
86,36,19,73,26,-2.5317435264587402,4.134876251220703
87,39,17,78,26,-2.5317435264587402,4.184876441955566
88,42,15,84,25,-2.5317435264587402,4.23487663269043
89,45,13,90,24,-2.5317435264587402,4.284876346588135
90,49,11,92,23,-2.5317435264587402,4.334876537322998
91,55,10,91,21,-2.5317435264587402,4.384876251220703
92,61,9,89,19,-2.5317435264587402,4.434876441955566
93,67,8,88,17,-2.5317435264587402,4.48487663269043
94,72,7,87,15,-2.5317435264587402,4.534876346588135
95,78,6,86,13,-2.5317435264587402,4.584876537322998
96,83,5,85,11,-2.5317435264587402,4.634876251220703
97,88,4,82,9,-2.5317435264587402,4.684876441955566
98,92,4,78,8,-2.5317435264587402,4.73487663269043
99,94,3,71,6,-2.5317435264587402,4.784876346588135
100,26,29,53,27,-2.481743574142456,3.8848764896392822
101,30,27,60,27,-2.481743574142456,3.9348764419555664
102,33,25,66,27,-2.481743574142456,3.9848763942718506
103,36,23,72,26,-2.481743574142456,4.034876346588135
104,39,21,78,26,-2.481743574142456,4.084876537322998
105,42,19,84,26,-2.481743574142456,4.134876251220703
106,45,16,90,25,-2.481743574142456,4.184876441955566
107,49,14,94,25,-2.481743574142456,4.23487663269043
108,54,12,93,25,-2.481743574142456,4.284876346588135
109,61,11,92,23,-2.481743574142456,4.334876537322998
110,67,10,90,21,-2.481743574142456,4.384876251220703
111,72,9,89,19,-2.481743574142456,4.434876441955566
112,78,8,88,17,-2.481743574142456,4.48487663269043
113,83,7,87,15,-2.481743574142456,4.534876346588135
114,89,6,86,13,-2.481743574142456,4.584876537322998
115,94,5,84,11,-2.481743574142456,4.634876251220703
116,98,4,81,9,-2.481743574142456,4.684876441955566
117,102,3,76,7,-2.481743574142456,4.73487663269043
118,104,3,69,6,-2.481743574142456,4.784876346588135
119,29,31,59,27,-2.4317433834075928,3.834876537322998
120,33,29,66,28,-2.4317433834075928,3.8848764896392822
121,36,27,72,28,-2.4317433834075928,3.9348764419555664
122,39,24,78,27,-2.4317433834075928,3.9848763942718506
123,42,22,84,27,-2.4317433834075928,4.034876346588135
124,45,20,90,27,-2.4317433834075928,4.084876537322998
125,48,18,96,26,-2.4317433834075928,4.134876251220703
126,54,16,94,25,-2.4317433834075928,4.184876441955566
127,60,14,94,25,-2.4317433834075928,4.23487663269043
128,66,12,92,25,-2.4317433834075928,4.284876346588135
129,72,11,91,22,-2.4317433834075928,4.334876537322998
130,78,10,90,20,-2.4317433834075928,4.384876251220703
131,83,9,89,18,-2.4317433834075928,4.434876441955566
132,89,8,88,16,-2.4317433834075928,4.48487663269043
133,94,7,87,14,-2.4317433834075928,4.534876346588135
134,99,6,85,12,-2.4317433834075928,4.584876537322998
135,104,5,83,11,-2.4317433834075928,4.634876251220703
136,108,4,81,9,-2.4317433834075928,4.684876441955566
137,111,3,75,7,-2.4317433834075928,4.73487663269043
138,29,36,59,28,-2.3817434310913086,3.7348763942718506
139,32,33,65,29,-2.3817434310913086,3.7848763465881348
140,36,31,72,29,-2.3817434310913086,3.834876537322998
141,39,29,78,28,-2.3817434310913086,3.8848764896392822
142,42,26,84,27,-2.3817434310913086,3.9348764419555664
143,45,24,90,27,-2.3817434310913086,3.9848763942718506
144,48,22,96,27,-2.3817434310913086,4.034876346588135
145,53,20,97,26,-2.3817434310913086,4.084876537322998
146,59,18,95,26,-2.3817434310913086,4.134876251220703
147,66,16,94,26,-2.3817434310913086,4.184876441955566
148,71,13,93,25,-2.3817434310913086,4.23487663269043
149,78,12,92,24,-2.3817434310913086,4.284876346588135
150,83,11,91,22,-2.3817434310913086,4.334876537322998
151,89,10,90,20,-2.3817434310913086,4.384876251220703
152,95,9,88,18,-2.3817434310913086,4.434876441955566
153,100,8,88,16,-2.3817434310913086,4.48487663269043
154,105,7,86,14,-2.3817434310913086,4.534876346588135
155,110,6,85,12,-2.3817434310913086,4.584876537322998
156,115,5,82,10,-2.3817434310913086,4.634876251220703
157,119,4,80,8,-2.3817434310913086,4.684876441955566
158,122,3,74,7,-2.3817434310913086,4.73487663269043
159,29,40,58,29,-2.3317434787750244,3.6348764896392822
160,32,38,65,30,-2.3317434787750244,3.6848764419555664
161,35,35,71,29,-2.3317434787750244,3.7348763942718506
162,39,33,78,29,-2.3317434787750244,3.7848763465881348
163,42,31,84,28,-2.3317434787750244,3.834876537322998
164,45,29,90,28,-2.3317434787750244,3.8848764896392822
165,48,26,96,27,-2.3317434787750244,3.9348764419555664
166,52,24,99,27,-2.3317434787750244,3.9848763942718506
167,59,22,98,26,-2.3317434787750244,4.034876346588135
168,65,20,97,26,-2.3317434787750244,4.084876537322998
169,71,17,95,25,-2.3317434787750244,4.134876251220703
170,77,15,93,25,-2.3317434787750244,4.184876441955566
171,83,13,93,25,-2.3317434787750244,4.23487663269043
172,89,12,92,24,-2.3317434787750244,4.284876346588135
173,95,11,90,22,-2.3317434787750244,4.334876537322998
174,100,10,89,20,-2.3317434787750244,4.384876251220703
175,106,9,88,18,-2.3317434787750244,4.434876441955566
176,111,8,87,16,-2.3317434787750244,4.48487663269043
177,116,7,86,14,-2.3317434787750244,4.534876346588135
178,121,6,84,12,-2.3317434787750244,4.584876537322998
179,125,5,82,10,-2.3317434787750244,4.634876251220703
180,129,4,78,8,-2.3317434787750244,4.684876441955566
181,132,3,72,6,-2.3317434787750244,4.73487663269043
182,28,45,57,30,-2.2817435264587402,3.5348763465881348
183,32,43,64,30,-2.2817435264587402,3.584876537322998
184,35,40,71,31,-2.2817435264587402,3.6348764896392822
185,39,38,78,30,-2.2817435264587402,3.6848764419555664
186,42,35,84,29,-2.2817435264587402,3.7348763942718506
187,45,32,90,29,-2.2817435264587402,3.7848763465881348
188,48,30,96,29,-2.2817435264587402,3.834876537322998
189,51,28,101,28,-2.2817435264587402,3.8848764896392822
190,58,26,100,28,-2.2817435264587402,3.9348764419555664
191,64,23,99,27,-2.2817435264587402,3.9848763942718506
192,71,21,98,27,-2.2817435264587402,4.034876346588135
193,77,19,96,26,-2.2817435264587402,4.084876537322998
194,83,17,95,26,-2.2817435264587402,4.134876251220703
195,89,15,93,26,-2.2817435264587402,4.184876441955566
196,95,13,92,25,-2.2817435264587402,4.23487663269043
197,100,11,91,23,-2.2817435264587402,4.284876346588135
198,106,10,90,21,-2.2817435264587402,4.334876537322998
199,111,9,89,19,-2.2817435264587402,4.384876251220703
200,117,8,88,17,-2.2817435264587402,4.434876441955566
201,122,7,86,15,-2.2817435264587402,4.48487663269043
202,127,6,86,13,-2.2817435264587402,4.534876346588135
203,132,5,84,11,-2.2817435264587402,4.584876537322998
204,136,4,82,9,-2.2817435264587402,4.634876251220703
205,139,4,77,8,-2.2817435264587402,4.684876441955566
206,142,3,70,6,-2.2817435264587402,4.73487663269043
207,32,47,64,31,-2.231743574142456,3.4848763942718506
208,35,45,71,31,-2.231743574142456,3.5348763465881348
209,38,42,77,31,-2.231743574142456,3.584876537322998
210,42,40,84,30,-2.231743574142456,3.6348764896392822
211,45,38,90,30,-2.231743574142456,3.6848764419555664
212,48,35,97,30,-2.231743574142456,3.7348763942718506
213,51,32,103,29,-2.231743574142456,3.7848763465881348
214,57,30,103,28,-2.231743574142456,3.834876537322998
215,64,28,101,28,-2.231743574142456,3.8848764896392822
216,71,25,100,27,-2.231743574142456,3.9348764419555664
217,77,23,98,27,-2.231743574142456,3.9848763942718506
218,83,21,97,26,-2.231743574142456,4.034876346588135
219,89,19,95,26,-2.231743574142456,4.084876537322998
220,95,17,94,26,-2.231743574142456,4.134876251220703
221,100,14,93,25,-2.231743574142456,4.184876441955566
222,106,12,91,25,-2.231743574142456,4.23487663269043
223,112,11,90,23,-2.231743574142456,4.284876346588135
224,117,10,89,21,-2.231743574142456,4.334876537322998
225,123,9,88,19,-2.231743574142456,4.384876251220703
226,128,8,88,17,-2.231743574142456,4.434876441955566
227,133,7,86,15,-2.231743574142456,4.48487663269043
228,137,6,85,13,-2.231743574142456,4.534876346588135
229,142,5,83,11,-2.231743574142456,4.584876537322998
230,146,4,81,9,-2.231743574142456,4.634876251220703
231,149,3,75,7,-2.231743574142456,4.684876441955566
232,31,53,63,32,-2.1817433834075928,3.3848764896392822
233,35,50,70,33,-2.1817433834075928,3.4348764419555664
234,38,48,77,32,-2.1817433834075928,3.4848763942718506
235,42,45,84,32,-2.1817433834075928,3.5348763465881348
236,45,42,90,31,-2.1817433834075928,3.584876537322998
237,48,39,97,31,-2.1817433834075928,3.6348764896392822
238,51,37,103,30,-2.1817433834075928,3.6848764419555664
239,56,34,105,29,-2.1817433834075928,3.7348763942718506
240,63,32,103,29,-2.1817433834075928,3.7848763465881348
241,70,29,102,29,-2.1817433834075928,3.834876537322998
242,77,27,100,28,-2.1817433834075928,3.8848764896392822
243,83,25,99,28,-2.1817433834075928,3.9348764419555664
244,89,22,98,27,-2.1817433834075928,3.9848763942718506
245,95,20,97,27,-2.1817433834075928,4.034876346588135
246,101,18,95,26,-2.1817433834075928,4.084876537322998
247,107,16,94,26,-2.1817433834075928,4.134876251220703
248,112,14,93,25,-2.1817433834075928,4.184876441955566
249,118,12,92,25,-2.1817433834075928,4.23487663269043
250,123,11,91,23,-2.1817433834075928,4.284876346588135
251,128,10,89,20,-2.1817433834075928,4.334876537322998
252,134,9,88,18,-2.1817433834075928,4.384876251220703
253,139,8,86,16,-2.1817433834075928,4.434876441955566
254,144,7,86,14,-2.1817433834075928,4.48487663269043
255,148,6,85,12,-2.1817433834075928,4.534876346588135
256,153,5,82,11,-2.1817433834075928,4.584876537322998
257,157,4,80,9,-2.1817433834075928,4.634876251220703
258,160,3,74,7,-2.1817433834075928,4.684876441955566
259,31,58,62,33,-2.1317434310913086,3.2848763465881348
260,35,56,70,34,-2.1317434310913086,3.334876537322998
261,38,53,77,34,-2.1317434310913086,3.3848764896392822
262,42,50,84,33,-2.1317434310913086,3.4348764419555664
263,45,47,91,33,-2.1317434310913086,3.4848763942718506
264,48,44,97,31,-2.1317434310913086,3.5348763465881348
265,52,41,104,31,-2.1317434310913086,3.584876537322998
266,56,39,108,30,-2.1317434310913086,3.6348764896392822
267,63,37,106,30,-2.1317434310913086,3.6848764419555664
268,70,34,104,30,-2.1317434310913086,3.7348763942718506
269,76,31,103,29,-2.1317434310913086,3.7848763465881348
270,83,29,102,28,-2.1317434310913086,3.834876537322998
271,89,27,100,28,-2.1317434310913086,3.8848764896392822
272,95,24,99,27,-2.1317434310913086,3.9348764419555664
273,101,22,97,27,-2.1317434310913086,3.9848763942718506
274,107,20,96,26,-2.1317434310913086,4.034876346588135
275,113,18,95,26,-2.1317434310913086,4.084876537322998
276,119,16,94,26,-2.1317434310913086,4.134876251220703
277,124,13,92,25,-2.1317434310913086,4.184876441955566
278,129,12,91,24,-2.1317434310913086,4.23487663269043
279,135,11,90,22,-2.1317434310913086,4.284876346588135
280,140,10,88,20,-2.1317434310913086,4.334876537322998
281,145,9,88,18,-2.1317434310913086,4.384876251220703
282,150,8,86,16,-2.1317434310913086,4.434876441955566
283,155,7,86,14,-2.1317434310913086,4.48487663269043
284,160,6,84,12,-2.1317434310913086,4.534876346588135
285,164,5,82,10,-2.1317434310913086,4.584876537322998
286,167,4,78,8,-2.1317434310913086,4.634876251220703
287,169,3,73,6,-2.1317434310913086,4.684876441955566
288,31,64,62,35,-2.0817434787750244,3.1848764419555664
289,34,61,69,35,-2.0817434787750244,3.2348763942718506
290,38,58,77,35,-2.0817434787750244,3.2848763465881348
291,42,56,84,34,-2.0817434787750244,3.334876537322998
292,45,53,91,34,-2.0817434787750244,3.3848764896392822
293,48,49,97,33,-2.0817434787750244,3.4348764419555664
294,52,47,104,32,-2.0817434787750244,3.4848763942718506
295,55,44,111,32,-2.0817434787750244,3.5348763465881348
296,62,41,109,31,-2.0817434787750244,3.584876537322998
297,69,39,107,30,-2.0817434787750244,3.6348764896392822
298,76,36,106,30,-2.0817434787750244,3.6848764419555664
299,83,33,104,29,-2.0817434787750244,3.7348763942718506
300,89,31,103,29,-2.0817434787750244,3.7848763465881348
301,95,29,101,28,-2.0817434787750244,3.834876537322998
302,102,26,100,27,-2.0817434787750244,3.8848764896392822
303,108,24,98,28,-2.0817434787750244,3.9348764419555664
304,113,21,97,27,-2.0817434787750244,3.9848763942718506
305,119,20,95,26,-2.0817434787750244,4.034876346588135
306,125,18,94,26,-2.0817434787750244,4.084876537322998
307,130,15,93,25,-2.0817434787750244,4.134876251220703
308,136,13,92,25,-2.0817434787750244,4.184876441955566
309,141,12,91,24,-2.0817434787750244,4.23487663269043
310,146,11,89,22,-2.0817434787750244,4.284876346588135
311,151,10,89,20,-2.0817434787750244,4.334876537322998
312,156,9,87,18,-2.0817434787750244,4.384876251220703
313,161,8,86,16,-2.0817434787750244,4.434876441955566
314,165,7,85,14,-2.0817434787750244,4.48487663269043
315,170,6,83,12,-2.0817434787750244,4.534876346588135
316,174,5,81,10,-2.0817434787750244,4.584876537322998
317,177,4,77,8,-2.0817434787750244,4.634876251220703
318,180,3,72,6,-2.0817434787750244,4.684876441955566
319,34,67,69,35,-2.0317435264587402,3.1348764896392822
320,38,64,76,35,-2.0317435264587402,3.1848764419555664
321,42,61,84,35,-2.0317435264587402,3.2348763942718506
322,45,58,91,35,-2.0317435264587402,3.2848763465881348
323,49,55,98,34,-2.0317435264587402,3.334876537322998
324,52,52,105,33,-2.0317435264587402,3.3848764896392822
325,55,49,111,33,-2.0317435264587402,3.4348764419555664
326,62,46,112,33,-2.0317435264587402,3.4848763942718506
327,69,43,110,31,-2.0317435264587402,3.5348763465881348
328,76,40,108,31,-2.0317435264587402,3.584876537322998
329,82,38,107,31,-2.0317435264587402,3.6348764896392822
330,89,36,105,30,-2.0317435264587402,3.6848764419555664
331,96,33,104,29,-2.0317435264587402,3.7348763942718506
332,102,30,102,29,-2.0317435264587402,3.7848763465881348
333,108,28,101,29,-2.0317435264587402,3.834876537322998
334,114,26,99,28,-2.0317435264587402,3.8848764896392822
335,120,23,98,27,-2.0317435264587402,3.9348764419555664
336,126,21,96,27,-2.0317435264587402,3.9848763942718506
337,131,19,95,27,-2.0317435264587402,4.034876346588135
338,137,17,94,26,-2.0317435264587402,4.084876537322998
339,142,15,93,26,-2.0317435264587402,4.134876251220703
340,147,13,91,26,-2.0317435264587402,4.184876441955566
341,153,11,90,23,-2.0317435264587402,4.23487663269043
342,157,10,89,21,-2.0317435264587402,4.284876346588135
343,163,9,88,19,-2.0317435264587402,4.334876537322998
344,167,8,87,17,-2.0317435264587402,4.384876251220703
345,172,7,86,15,-2.0317435264587402,4.434876441955566
346,177,6,84,13,-2.0317435264587402,4.48487663269043
347,181,5,83,11,-2.0317435264587402,4.534876346588135
348,184,4,81,9,-2.0317435264587402,4.584876537322998
349,188,4,76,8,-2.0317435264587402,4.634876251220703
350,190,3,70,6,-2.0317435264587402,4.684876441955566
351,34,73,68,37,-1.9817434549331665,3.0348763465881348
352,38,70,76,37,-1.9817434549331665,3.084876537322998
353,42,67,84,37,-1.9817434549331665,3.1348764896392822
354,45,64,91,37,-1.9817434549331665,3.1848764419555664
355,49,61,98,36,-1.9817434549331665,3.2348763942718506
356,52,57,105,35,-1.9817434549331665,3.2848763465881348
357,56,55,112,34,-1.9817434549331665,3.334876537322998
358,61,52,114,34,-1.9817434549331665,3.3848764896392822
359,68,48,113,33,-1.9817434549331665,3.4348764419555664
360,75,46,111,32,-1.9817434549331665,3.4848763942718506
361,82,43,109,32,-1.9817434549331665,3.5348763465881348
362,89,40,107,31,-1.9817434549331665,3.584876537322998
363,96,38,106,30,-1.9817434549331665,3.6348764896392822
364,102,35,105,30,-1.9817434549331665,3.6848764419555664
365,108,32,103,29,-1.9817434549331665,3.7348763942718506
366,115,30,102,29,-1.9817434549331665,3.7848763465881348
367,121,28,100,28,-1.9817434549331665,3.834876537322998
368,127,25,98,27,-1.9817434549331665,3.8848764896392822
369,132,23,97,27,-1.9817434549331665,3.9348764419555664
370,138,21,96,26,-1.9817434549331665,3.9848763942718506
371,143,19,95,26,-1.9817434549331665,4.034876346588135
372,149,17,94,26,-1.9817434549331665,4.084876537322998
373,154,14,92,25,-1.9817434549331665,4.134876251220703
374,159,12,91,25,-1.9817434549331665,4.184876441955566
375,164,11,89,23,-1.9817434549331665,4.23487663269043
376,169,10,89,21,-1.9817434549331665,4.284876346588135
377,174,9,88,19,-1.9817434549331665,4.334876537322998
378,179,8,86,17,-1.9817434549331665,4.384876251220703
379,183,7,85,15,-1.9817434549331665,4.434876441955566
380,188,6,84,13,-1.9817434549331665,4.48487663269043
381,192,5,82,11,-1.9817434549331665,4.534876346588135
382,195,4,80,9,-1.9817434549331665,4.584876537322998
383,198,3,75,7,-1.9817434549331665,4.634876251220703
384,34,80,68,39,-1.9317435026168823,2.9348764419555664
385,38,77,76,39,-1.9317435026168823,2.9848763942718506
386,41,74,83,38,-1.9317435026168823,3.0348763465881348
387,45,71,91,38,-1.9317435026168823,3.084876537322998
388,49,67,98,37,-1.9317435026168823,3.1348764896392822
389,53,64,106,36,-1.9317435026168823,3.1848764419555664
390,56,60,113,35,-1.9317435026168823,3.2348763942718506
391,60,57,118,35,-1.9317435026168823,3.2848763465881348
392,68,54,116,34,-1.9317435026168823,3.334876537322998
393,75,51,114,33,-1.9317435026168823,3.3848764896392822
394,82,48,113,33,-1.9317435026168823,3.4348764419555664
395,89,45,111,33,-1.9317435026168823,3.4848763942718506
396,96,42,109,31,-1.9317435026168823,3.5348763465881348
397,103,40,108,30,-1.9317435026168823,3.584876537322998
398,109,37,105,31,-1.9317435026168823,3.6348764896392822
399,116,35,104,30,-1.9317435026168823,3.6848764419555664
400,122,32,102,29,-1.9317435026168823,3.7348763942718506
401,127,30,101,28,-1.9317435026168823,3.7848763465881348
402,134,27,100,29,-1.9317435026168823,3.834876537322998
403,139,25,99,28,-1.9317435026168823,3.8848764896392822
404,145,23,96,28,-1.9317435026168823,3.9348764419555664
405,150,20,95,27,-1.9317435026168823,3.9848763942718506
406,156,18,94,27,-1.9317435026168823,4.034876346588135
407,161,16,93,26,-1.9317435026168823,4.084876537322998
408,166,14,92,25,-1.9317435026168823,4.134876251220703
409,171,12,90,25,-1.9317435026168823,4.184876441955566
410,176,11,90,23,-1.9317435026168823,4.23487663269043
411,181,10,88,20,-1.9317435026168823,4.284876346588135
412,185,9,87,18,-1.9317435026168823,4.334876537322998
413,190,8,86,16,-1.9317435026168823,4.384876251220703
414,194,7,85,14,-1.9317435026168823,4.434876441955566
415,199,6,84,12,-1.9317435026168823,4.48487663269043
416,203,5,82,10,-1.9317435026168823,4.534876346588135
417,205,4,79,9,-1.9317435026168823,4.584876537322998
418,208,3,73,7,-1.9317435026168823,4.634876251220703
419,37,84,75,40,-1.8817434310913086,2.8848764896392822
420,41,81,83,40,-1.8817434310913086,2.9348764419555664
421,45,77,91,39,-1.8817434310913086,2.9848763942718506
422,49,73,99,39,-1.8817434310913086,3.0348763465881348
423,53,70,106,38,-1.8817434310913086,3.084876537322998
424,56,66,113,37,-1.8817434310913086,3.1348764896392822
425,60,63,120,36,-1.8817434310913086,3.1848764419555664
426,67,60,119,36,-1.8817434310913086,3.2348763942718506
427,75,56,118,35,-1.8817434310913086,3.2848763465881348
428,82,54,115,34,-1.8817434310913086,3.334876537322998
429,89,50,113,33,-1.8817434310913086,3.3848764896392822
430,96,48,111,32,-1.8817434310913086,3.4348764419555664
431,103,45,110,32,-1.8817434310913086,3.4848763942718506
432,110,42,108,31,-1.8817434310913086,3.5348763465881348
433,116,39,107,31,-1.8817434310913086,3.584876537322998
434,122,37,105,30,-1.8817434310913086,3.6348764896392822
435,129,34,104,30,-1.8817434310913086,3.6848764419555664
436,135,31,102,29,-1.8817434310913086,3.7348763942718506
437,141,29,100,29,-1.8817434310913086,3.7848763465881348
438,146,27,99,28,-1.8817434310913086,3.834876537322998
439,152,25,98,28,-1.8817434310913086,3.8848764896392822
440,157,22,97,27,-1.8817434310913086,3.9348764419555664
441,162,20,95,27,-1.8817434310913086,3.9848763942718506
442,168,18,94,26,-1.8817434310913086,4.034876346588135
443,173,16,92,26,-1.8817434310913086,4.084876537322998
444,178,14,92,26,-1.8817434310913086,4.134876251220703
445,183,12,90,24,-1.8817434310913086,4.184876441955566
446,187,11,89,22,-1.8817434310913086,4.23487663269043
447,192,10,88,20,-1.8817434310913086,4.284876346588135
448,196,9,87,18,-1.8817434310913086,4.334876537322998
449,201,8,86,16,-1.8817434310913086,4.384876251220703
450,205,7,85,14,-1.8817434310913086,4.434876441955566
451,209,6,83,12,-1.8817434310913086,4.48487663269043
452,213,5,81,10,-1.8817434310913086,4.534876346588135
453,216,4,78,8,-1.8817434310913086,4.584876537322998
454,219,3,72,6,-1.8817434310913086,4.634876251220703
455,37,92,75,42,-1.8317434787750244,2.7848763465881348
456,41,88,83,42,-1.8317434787750244,2.834876537322998
457,45,84,91,41,-1.8317434787750244,2.8848764896392822
458,49,80,99,41,-1.8317434787750244,2.9348764419555664
459,53,77,107,40,-1.8317434787750244,2.9848763942718506
460,57,73,114,38,-1.8317434787750244,3.0348763465881348
461,60,69,121,37,-1.8317434787750244,3.084876537322998
462,66,66,123,37,-1.8317434787750244,3.1348764896392822
463,74,63,121,36,-1.8317434787750244,3.1848764419555664
464,82,59,118,35,-1.8317434787750244,3.2348763942718506
465,89,56,117,35,-1.8317434787750244,3.2848763465881348
466,96,53,115,34,-1.8317434787750244,3.334876537322998
467,103,50,113,33,-1.8317434787750244,3.3848764896392822
468,110,47,111,33,-1.8317434787750244,3.4348764419555664
469,117,45,109,32,-1.8317434787750244,3.4848763942718506
470,123,42,107,32,-1.8317434787750244,3.5348763465881348
471,130,39,106,31,-1.8317434787750244,3.584876537322998
472,136,36,104,31,-1.8317434787750244,3.6348764896392822
473,142,34,103,30,-1.8317434787750244,3.6848764419555664
474,148,31,102,29,-1.8317434787750244,3.7348763942718506
475,154,29,100,28,-1.8317434787750244,3.7848763465881348
476,159,27,98,28,-1.8317434787750244,3.834876537322998
477,164,24,97,28,-1.8317434787750244,3.8848764896392822
478,170,22,96,28,-1.8317434787750244,3.9348764419555664
479,175,19,94,27,-1.8317434787750244,3.9848763942718506
480,180,17,94,27,-1.8317434787750244,4.034876346588135
481,185,15,92,25,-1.8317434787750244,4.084876537322998
482,189,13,91,25,-1.8317434787750244,4.134876251220703
483,194,12,89,24,-1.8317434787750244,4.184876441955566
484,199,11,89,22,-1.8317434787750244,4.23487663269043
485,203,10,87,20,-1.8317434787750244,4.284876346588135
486,208,9,86,18,-1.8317434787750244,4.334876537322998
487,212,8,85,16,-1.8317434787750244,4.384876251220703
488,216,7,85,14,-1.8317434787750244,4.434876441955566
489,220,6,83,12,-1.8317434787750244,4.48487663269043
490,224,5,80,10,-1.8317434787750244,4.534876346588135
491,227,4,78,8,-1.8317434787750244,4.584876537322998
492,229,3,70,6,-1.8317434787750244,4.634876251220703
493,37,99,75,43,-1.7817435264587402,2.6848764419555664
